Timestamp,Speed_KPM,RPM,Gear,Suspension_FL,Is_Cheating
22118515,0,0,0,0,NO
22118515,0,0,0,0,NO
22118531,0,0,0,0,NO
22118546,0,0,0,0,NO
22118546,0,0,0,0,NO
22118562,0,0,0,0,NO
22118578,0,0,0,0,NO
22118578,0,0,0,0,NO
22118593,0,0,0,0,NO
22118593,0,0,0,0,NO
22118609,0,0,0,0,NO
22118625,0,0,0,0,NO
22118625,0,0,0,0,NO
22118640,0,0,0,0,NO
22118656,0,0,0,0,NO
22118656,0,0,0,0,NO
22118671,0,0,0,0,NO
22118671,0,0,0,0,NO
22118687,0,0,0,0,NO
22118703,0,0,0,0,NO
22118703,0,0,0,0,NO
22118718,0,0,0,0,NO
22118734,0,0,0,0,NO
22118734,0,0,0,0,NO
22118750,0,0,0,0,NO
22118765,0,0,0,0,NO
22118765,0,0,0,0,NO
22118781,0,0,0,0,NO
22118796,0,0,0,0,NO
22118796,0,0,0,0,NO
22118812,0,0,0,0,NO
22118812,0,0,0,0,NO
22118828,0,0,0,0,NO
22118843,0,0,0,0,NO
22118843,0,0,0,0,NO
22118859,0,0,0,0,NO
22118859,0,0,0,0,NO
22118875,0,0,0,0,NO
22118890,0,0,0,0,NO
22118890,0,0,0,0,NO
22118906,0,0,0,0,NO
22118921,0,0,0,0,NO
22118921,0,0,0,0,NO
22118937,0,0,0,0,NO
22118937,0,0,0,0,NO
22118953,0,0,0,0,NO
22118968,0,0,0,0,NO
22118968,0,0,0,0,NO
22118984,0,0,0,0,NO
22118984,0,0,0,0,NO
22119000,0,0,0,0,NO
22119015,0,0,0,0,NO
22119015,0,0,0,0,NO
22119031,0,0,0,0,NO
22119031,0,0,0,0,NO
22119046,0,0,0,0,NO
22119062,0,0,0,0,NO
22119062,0,0,0,0,NO
22119078,0,0,0,0,NO
22119093,0,0,0,0,NO
22119093,0,0,0,0,NO
22119109,0,0,0,0,NO
22119109,0,0,0,0,NO
22119125,0,0,0,0,NO
22119140,0,0,0,0,NO
22119140,0,0,0,0,NO
